X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,season,rain_present,fire_weather_score,dryness_index,wind_effect,fuel_moisture_deficit,month_num,month_sin,month_cos,day_num,day_sin,day_cos,location_cluster
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,Spring,0,211.79999999999998,0.1576923076923077,54.94,0.5038461538461538,3,1.0,6.123233995736766e-17,5,-0.9749279121818236,-0.2225209339563146,2
7,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,Autumn,0,801.8000000000001,0.5294117647058824,16.2,1.0411764705882351,10,-0.8660254037844386,0.5000000000000001,2,0.9749279121818236,-0.22252093395631434,2
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,Autumn,0,827.9000000000001,0.4294117647058823,18.98,1.285294117647059,10,-0.8660254037844386,0.5000000000000001,6,-0.7818314824680299,0.6234898018587334,2
8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,Spring,1,211.5,0.08469387755102041,33.2,0.3397959183673469,3,1.0,6.123233995736766e-17,5,-0.9749279121818236,-0.2225209339563146,0
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,Spring,0,252.4,0.114,20.52,0.513,3,1.0,6.123233995736766e-17,7,-2.4492935982947064e-16,1.0,0
8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,Summer,0,680.3000000000001,0.74,119.88000000000001,2.8433333333333333,8,-0.8660254037844385,-0.5000000000000004,7,-2.4492935982947064e-16,1.0,0
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,Summer,0,685.3,0.8607142857142858,74.71000000000001,3.1750000000000003,8,-0.8660254037844385,-0.5000000000000004,1,0.7818314824680298,0.6234898018587336,0
8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,Summer,0,855.8000000000001,0.09195402298850575,17.6,1.6712643678160921,8,-0.8660254037844385,-0.5000000000000004,1,0.7818314824680298,0.6234898018587336,0
8,6,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,Autumn,0,920.1,0.2046875,70.74000000000001,2.0234375,9,-1.0,-1.8369701987210297e-16,2,0.9749279121818236,-0.22252093395631434,0
7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,Autumn,0,886.2,0.5560975609756098,91.2,2.1463414634146343,9,-1.0,-1.8369701987210297e-16,6,-0.7818314824680299,0.6234898018587334,2
7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,Autumn,0,886.2,0.3423076923076923,128.16,1.6923076923076923,9,-1.0,-1.8369701987210297e-16,6,-0.7818314824680299,0.6234898018587334,2
7,5,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,Autumn,0,901.6,0.4948717948717949,77.2,1.876923076923077,9,-1.0,-1.8369701987210297e-16,6,-0.7818314824680299,0.6234898018587334,2
6,5,aug,fri,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,Summer,0,800.3999999999999,0.2328767123287671,113.9,0.9698630136986301,8,-0.8660254037844385,-0.5000000000000004,5,-0.9749279121818236,-0.2225209339563146,2
6,5,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,Autumn,0,910.9,0.49534883720930234,46.86000000000001,2.941860465116279,9,-1.0,-1.8369701987210297e-16,1,0.7818314824680298,0.6234898018587336,2
6,5,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,Autumn,0,935.0000000000001,1.2,118.8,6.0590909090909095,9,-1.0,-1.8369701987210297e-16,3,0.43388373911755823,-0.900968867902419,2
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,Autumn,0,962.3,0.5088888888888888,123.66,3.1377777777777776,9,-1.0,-1.8369701987210297e-16,5,-0.9749279121818236,-0.2225209339563146,2
5,5,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,Spring,0,216.10000000000002,0.5392857142857143,81.54,1.2785714285714285,3,1.0,6.123233995736766e-17,6,-0.7818314824680299,0.6234898018587334,3
8,5,oct,mon,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,Autumn,0,784.9000000000001,0.34791666666666665,81.83,0.6833333333333332,10,-0.8660254037844386,0.5000000000000001,1,0.7818314824680298,0.6234898018587336,0
6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,Spring,0,194.2,0.44166666666666665,63.6,0.7749999999999999,3,1.0,6.123233995736766e-17,3,0.43388373911755823,-0.900968867902419,2
6,4,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,Spring,0,215.89999999999998,0.2066666666666667,41.85,0.6088888888888888,4,0.8660254037844387,-0.4999999999999998,6,-0.7818314824680299,0.6234898018587334,2
6,4,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,Autumn,0,920.1,0.44634146341463415,49.410000000000004,3.158536585365854,9,-1.0,-1.8369701987210297e-16,2,0.9749279121818236,-0.22252093395631434,2
5,4,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,Autumn,0,903.8,0.4897435897435898,51.57000000000001,2.0128205128205128,9,-1.0,-1.8369701987210297e-16,1,0.7818314824680298,0.6234898018587336,3
7,4,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0,Summer,0,446.70000000000005,0.4666666666666667,94.5,2.14,6,1.2246467991473532e-16,-1.0,7,-2.4492935982947064e-16,1.0,2
7,4,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,Summer,0,744.7,0.4431818181818182,113.1,2.5204545454545455,8,-0.8660254037844385,-0.5000000000000004,6,-0.7818314824680299,0.6234898018587334,2
7,4,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,Summer,0,847.4,0.7181818181818181,137.45999999999998,4.224242424242425,8,-0.8660254037844385,-0.5000000000000004,6,-0.7818314824680299,0.6234898018587334,2
7,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,Summer,0,845.8000000000001,0.26721311475409837,88.02000000000001,2.334426229508197,8,-0.8660254037844385,-0.5000000000000004,7,-2.4492935982947064e-16,1.0,2
7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,Autumn,0,890.5,0.5428571428571428,110.2,3.3685714285714288,9,-1.0,-1.8369701987210297e-16,5,-0.9749279121818236,-0.2225209339563146,2
7,4,sep,mon,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,Autumn,0,910.9,0.39591836734693875,25.22,2.5816326530612246,9,-1.0,-1.8369701987210297e-16,1,0.7818314824680298,0.6234898018587336,2
6,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,Autumn,0,968.3000000000001,1.208,81.54,5.816,9,-1.0,-1.8369701987210297e-16,6,-0.7818314824680299,0.6234898018587334,2
